Id,pop
454,71.6
455,68.6
456,69.5
457,58.8
458,38.6
459,68.8
460,64.9
461,39.2
462,59.1
463,74.8
464,42.6
465,61.4
466,61.9
467,61.0
468,61.3
469,58.7
470,55.5
471,66.6
472,61.4
473,67.3
474,57.1
475,50.1
476,63.3
477,46.5
478,49.3
479,69.3
480,59.0
481,61.2
482,46.6
483,71.7
484,68.5
485,61.2
486,66.0
487,70.5
488,57.5
489,75.7
490,67.5
491,66.5
492,62.5
493,71.9
494,70.5
495,67.0
496,72.2
497,54.6
498,61.6
499,54.7
500,74.3
501,58.9
502,62.1
503,67.8
504,46.8
505,70.8
506,67.8
507,40.4
508,69.2
509,60.6
510,68.2
511,60.3
512,65.0
513,62.5
514,70.0
515,72.2
516,67.5
517,69.1
518,66.8
519,59.1
520,61.3
521,56.1
522,71.5
523,51.6
524,73.4
525,55.0
526,58.1
527,66.5
528,50.6
529,68.1
530,68.9
531,71.6
532,68.8
533,49.1
534,68.8
535,70.8
536,70.5
537,66.6
538,46.4
539,57.7
540,63.3
541,66.4
542,50.7
543,73.1
544,36.2
545,71.1
546,61.4
547,68.3
548,73.9
549,60.9
550,59.6
551,57.5
552,68.4
553,53.2
554,43.2
555,65.1
556,67.8
557,55.7
558,45.0
559,59.1
560,69.4
561,72.5
562,70.7
563,63.8
564,63.5
565,69.6
566,66.8
567,66.1
