Id,pop
454,63.8
455,63.7
456,78.4
457,65.1
458,44.9
459,68.0
460,53.1
461,32.6
462,65.8
463,69.7
464,39.5
465,67.7
466,48.8
467,65.0
468,62.8
469,61.4
470,54.7
471,75.2
472,73.7
473,58.2
474,74.1
475,46.0
476,55.9
477,45.0
478,45.5
479,67.9
480,59.7
481,52.6
482,40.1
483,60.9
484,64.8
485,49.1
486,72.0
487,71.4
488,67.2
489,71.2
490,65.3
491,48.9
492,54.6
493,62.4
494,64.0
495,63.7
496,68.5
497,41.9
498,66.8
499,62.3
500,67.2
501,64.6
502,65.9
503,70.2
504,49.7
505,68.1
506,62.0
507,47.4
508,56.1
509,62.1
510,65.6
511,56.1
512,65.7
513,44.1
514,67.2
515,76.4
516,67.5
517,67.0
518,68.6
519,67.3
520,62.7
521,71.4
522,52.5
523,63.1
524,72.0
525,52.5
526,50.6
527,63.9
528,56.1
529,65.5
530,69.4
531,62.9
532,64.0
533,72.0
534,74.8
535,66.5
536,47.9
537,61.4
538,56.4
539,55.9
540,65.8
541,72.6
542,39.7
543,64.4
544,35.9
545,64.5
546,72.2
547,61.0
548,65.6
549,64.8
550,63.7
551,64.2
552,64.6
553,54.2
554,48.5
555,69.1
556,66.5
557,41.9
558,37.0
559,69.7
560,65.5
561,68.2
562,56.1
563,72.5
564,62.7
565,69.8
566,51.0
567,58.3
